# Constants and Parameters

# Final flow velocity (u_f): 1000 (m/s) - The final velocity of the flow
# Initial particle velocity (u_0): 0 (m/s) - The initial velocity of the particle
# Particle radius (r_is): 1e-06 (m) - The radius of the particle
# Nozzle radius (r_n): 0.05 (m) - The radius of the nozzle
# Particle density (q): 7874 (kg/m^3) - The density of the particle
# Gas density (q_g): 1.2754 (kg/m^3) - The density of the gas
# Gas constant (R): 8.31446 (J/(kg*K)) - The specific gas constant
# Gamma: 1.4# Molar mass of air (M): 0.029 (kg/mol) - The molar mass of air
# Gas temperature (T): 300 (K) - The temperature of the gas
# Reference temperature (T_0): 291.15 (K) - The reference temperature for gas
# Reference viscosity (eta_0): 1.827e-05 (Pa*s) - The reference viscosity of the gas
# Specific heat capacity of the gas (Cp): 460 (J/(kg*K)) - The specific heat capacity of the gas
# Speed of sound (Sound speed): 347.011 (m/s) - The speed of sound in the gas
# Dynamic viscosity (Viscosity): 1.91093e-05 (Pa*s) - The dynamic viscosity of the gas






# i  t  v  x  h  fi
0 0 0 0 0.001 4.1855e-05
1 0.001 4.1855e-05 2.09275e-08 0.0011 4.1855e-05
2 0.0021 8.78956e-05 9.22904e-08 0.00121 4.1855e-05
3 0.00331 0.00013854 2.29284e-07 0.001331 4.1855e-05
4 0.004641 0.000194249 4.50755e-07 0.0014641 4.1855e-05
5 0.0061051 0.000255529 7.80016e-07 0.00161051 4.1855e-05
6 0.00771561 0.000322937 1.24583e-06 0.00177156 4.1855e-05
7 0.00948717 0.000397086 1.88361e-06 0.00194872 4.1855e-05
8 0.0114359 0.000478649 2.73689e-06 0.00214359 4.1855e-05
9 0.0135795 0.000568369 3.85908e-06 0.00235795 4.1855e-05
10 0.0159374 0.000667061 5.31562e-06 0.00259374 4.1855e-05
11 0.0185312 0.000775622 7.1866e-06 0.00285312 4.1855e-05
12 0.0213843 0.00089504 9.56989e-06 0.00313843 4.1855e-05
13 0.0245227 0.0010264 1.2585e-05 0.00345227 4.1855e-05
14 0.027975 0.00117089 1.63779e-05 0.0037975 4.1855e-05
15 0.0317725 0.00132984 2.11261e-05 0.00417725 4.1855e-05
16 0.0359497 0.00150468 2.70464e-05 0.00459497 4.18551e-05
17 0.0405447 0.001697 3.44022e-05 0.00505447 4.18551e-05
18 0.0455992 0.00190855 4.35142e-05 0.00555992 4.18551e-05
19 0.0511591 0.00214126 5.47726e-05 0.00611591 4.18551e-05
20 0.057275 0.00239724 6.86511e-05 0.0067275 4.18551e-05
21 0.0640025 0.00267882 8.57258e-05 0.00740025 4.18551e-05
22 0.0714027 0.00298856 0.000106696 0.00814027 4.18551e-05
23 0.079543 0.00332927 0.00013241 0.0089543 4.18551e-05
24 0.0884973 0.00370405 0.000163899 0.00984973 4.18551e-05
25 0.0983471 0.00411631 0.000202414 0.0108347 4.18551e-05
26 0.109182 0.0045698 0.000249469 0.0119182 4.18551e-05
27 0.1211 0.00506863 0.000306906 0.01311 4.18551e-05
28 0.13421 0.00561735 0.000376952 0.014421 4.18551e-05
29 0.148631 0.00622094 0.000462312 0.0158631 4.18551e-05
30 0.164494 0.00688488 0.000566262 0.0174494 4.18551e-05
31 0.181943 0.00761523 0.000692771 0.0191943 4.18551e-05
32 0.201138 0.0084186 0.00084665 0.0211138 4.18551e-05
33 0.222252 0.00930231 0.00103373 0.0232252 4.18551e-05
34 0.245477 0.0102744 0.00126106 0.0255477 4.18551e-05
35 0.271024 0.0113437 0.00153721 0.0281024 4.18551e-05
36 0.299127 0.0125199 0.00187252 0.0309127 4.18551e-05
37 0.330039 0.0138137 0.00227954 0.0340039 4.18552e-05
38 0.364043 0.015237 0.00277346 0.0374043 4.18552e-05
39 0.401448 0.0168025 0.00337267 0.0411448 4.18552e-05
40 0.442593 0.0185246 0.00409943 0.0452593 4.18552e-05
41 0.487852 0.0204189 0.00498071 0.0497852 4.18552e-05
42 0.537637 0.0225026 0.00604914 0.0547637 4.18552e-05
43 0.592401 0.0247947 0.00734423 0.0602401 4.18553e-05
44 0.652641 0.027316 0.0089138 0.0662641 4.18553e-05
45 0.718905 0.0300894 0.0108158 0.0728905 4.18553e-05
46 0.791795 0.0331402 0.0131202 0.0801795 4.18553e-05
47 0.871975 0.036496 0.0159119 0.0881975 4.18554e-05
48 0.960172 0.0401874 0.0192935 0.0970172 4.18554e-05
49 1.05719 0.0442479 0.0233894 0.106719 4.18554e-05
50 1.16391 0.0487145 0.0283498 0.117391 4.18555e-05
51 1.2813 0.0536277 0.0343568 0.12913 4.18555e-05
52 1.41043 0.0590322 0.0416307 0.142043 4.18556e-05
53 1.55247 0.0649771 0.050438 0.156247 4.18556e-05
54 1.70872 0.0715165 0.0611014 0.171872 4.18557e-05
55 1.88059 0.0787098 0.0740112 0.189059 4.18557e-05
56 2.06965 0.0866223 0.08964 0.207965 4.18558e-05
57 2.27762 0.0953261 0.108559 0.228762 4.18559e-05
58 2.50638 0.1049 0.131462 0.251638 4.1856e-05
59 2.75801 0.115432 0.159183 0.276801 4.18561e-05
60 3.03482 0.127016 0.192738 0.304482 4.18562e-05
61 3.3393 0.139759 0.233352 0.33493 4.18563e-05
62 3.67423 0.153776 0.282509 0.368423 4.18564e-05
